,0
0,Arkansas
1,Colorado
2,Connecticut
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Massachusetts
10,Michigan
11,Montana
12,Nebraska
13,New Hampshire
14,Ohio
15,Oklahoma
16,Oregon
17,Rhode Island
18,Vermont
19,Wisconsin
20,Wyoming
